City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Tokur,RU,2021-07-23 00:29:46,53.1333,132.9,75.24,78,81,3.06
255,Saint-Pierre,RE,2021-07-23 00:27:43,-21.3393,55.4781,65.88,59,0,8.05
256,Tamworth,GB,2021-07-23 00:29:46,52.634,-1.6959,69.6,79,66,1.99
257,Zhangye,CN,2021-07-23 00:29:46,38.9342,100.4517,82.33,34,10,6.76
258,Ust-Maya,RU,2021-07-23 00:29:47,60.4167,134.5333,73.18,60,76,1.54
259,Nerchinskiy Zavod,RU,2021-07-23 00:29:47,51.3088,119.61,70.41,90,58,5.06
260,Mehran,IR,2021-07-23 00:29:47,33.1222,46.1646,83.68,18,0,9.75
261,Wanaka,NZ,2021-07-23 00:29:48,-44.7,169.15,41.11,99,3,1.99
262,Kidal,ML,2021-07-23 00:29:48,18.4411,1.4078,86.85,39,59,17.09
263,Zhigansk,RU,2021-07-23 00:27:14,66.7697,123.3711,65.66,70,60,5.68
264,Mugur-Aksy,RU,2021-07-23 00:29:49,50.35,90.5,61.86,65,100,1.14
265,Thompson,CA,2021-07-23 00:28:16,55.7435,-97.8558,82.56,51,40,8.05
266,Rodrigues Alves,BR,2021-07-23 00:29:49,-7.738,-72.6509,74.12,59,18,0.45
267,Vostok,RU,2021-07-23 00:29:49,46.4856,135.8833,77.94,70,92,2.21
268,Sturgis,US,2021-07-23 00:29:49,41.7992,-85.4192,78.6,69,1,5.75
269,Vila,PT,2021-07-23 00:29:50,42.0304,-8.1588,58.75,92,88,3.24
270,Sarab,IR,2021-07-23 00:29:50,38.6066,44.9883,76.33,49,1,5.55
271,Lagoa,PT,2021-07-23 00:29:50,39.05,-27.9833,67.39,77,2,9.84
272,Bowen,AU,2021-07-23 00:29:51,-20.0167,148.2333,71.82,58,48,5.97
273,Kruisfontein,ZA,2021-07-23 00:27:33,-34.0033,24.7314,43.88,84,92,5.88
274,Mehamn,NO,2021-07-23 00:29:40,71.0357,27.8492,43.23,79,100,23.26
275,Cajamarca,PE,2021-07-23 00:29:51,-7.1638,-78.5003,53.53,66,63,5.23
276,Galveston,US,2021-07-23 00:29:51,29.3669,-94.9669,89.19,77,1,1.99
277,Chongoyape,PE,2021-07-23 00:29:52,-6.6406,-79.3892,64.08,69,9,3.94
278,Mizdah,LY,2021-07-23 00:29:52,31.4451,12.9801,72.72,65,0,8.16
279,Seybaplaya,MX,2021-07-23 00:29:52,19.65,-90.6667,90.86,67,3,11.45
280,Elat,IL,2021-07-23 00:29:53,29.5581,34.9482,85.84,39,0,11.5
281,Skibbereen,IE,2021-07-23 00:29:53,51.55,-9.2667,66.0,89,77,11.18
282,Nuuk,GL,2021-07-23 00:29:53,64.1835,-51.7216,41.61,100,75,9.22
